iter	Passed	Remaining
791	1594	418
792	1596	416
793	1597	414
794	1599	412
795	1600	410
796	1601	408
797	1603	405
798	1604	403
799	1606	401
800	1607	399
801	1610	397
802	1612	395
803	1613	393
804	1614	391
805	1616	389
806	1617	386
807	1619	384
808	1620	382
809	1622	380
810	1625	378
811	1626	376
812	1627	374
813	1629	372
814	1630	370
815	1631	367
816	1633	365
817	1634	363
818	1635	361
819	1637	359
820	1639	357
821	1641	355
822	1642	353
823	1643	351
824	1645	348
825	1646	346
826	1648	344
827	1649	342
828	1650	340
829	1652	338
830	1654	336
831	1655	334
832	1657	332
833	1658	330
834	1660	328
835	1661	326
836	1663	323
837	1664	321
838	1666	319
839	1667	317
840	1669	315
841	1670	313
842	1672	311
843	1673	309
844	1674	307
845	1676	305
846	1677	303
847	1678	300
848	1680	298
849	1682	296
850	1684	294
851	1685	292
852	1687	290
853	1688	288
854	1689	286
855	1691	284
856	1692	282
857	1693	280
858	1695	278
859	1698	276
860	1699	274
861	1700	272
862	1702	270
863	1703	268
864	1705	266
865	1706	264
866	1707	262
867	1709	259
868	1710	257
869	1713	255
870	1714	253
871	1716	251
872	1717	249
873	1719	247
874	1720	245
875	1721	243
876	1723	241
877	1724	239
878	1727	237
879	1728	235
880	1730	233
881	1732	231
882	1733	229
883	1735	227
884	1736	225
885	1738	223
886	1740	221
887	1744	220
888	1746	218
889	1748	216
890	1749	214
891	1750	211
892	1752	209
893	1753	207
894	1754	205
895	1757	204
896	1759	202
897	1760	199
898	1762	198
899	1763	195
900	1765	193
901	1766	191
902	1767	189
903	1769	187
904	1772	186
905	1773	184
906	1775	182
907	1776	180
908	1777	177
909	1779	175
910	1780	173
911	1782	171
912	1783	169
913	1786	168
914	1787	166
915	1789	164
916	1790	162
917	1792	160
918	1793	158
919	1795	156
920	1796	154
921	1797	152
922	1799	150
923	1802	148
924	1804	146
925	1806	144
926	1807	142
927	1809	140
928	1811	138
929	1812	136
930	1814	134
931	1816	132
932	1818	130
933	1819	128
934	1820	126
935	1822	124
936	1823	122
937	1824	120
938	1826	118
939	1828	116
940	1829	114
941	1832	112
942	1833	110
943	1835	108
944	1836	106
945	1838	104
946	1839	102
947	1841	100
948	1842	99
949	1843	97
950	1846	95
951	1847	93
952	1849	91
953	1850	89
954	1852	87
955	1853	85
956	1855	83
957	1856	81
958	1857	79
959	1859	77
960	1861	75
961	1862	73
962	1864	71
963	1865	69
964	1866	67
965	1868	65
966	1869	63
967	1871	61
968	1872	59
969	1873	57
970	1876	56
971	1877	54
972	1878	52
973	1880	50
974	1881	48
975	1883	46
976	1884	44
977	1886	42
978	1887	40
979	1890	38
980	1891	36
981	1893	34
982	1894	32
983	1896	30
984	1899	28
985	1902	27
986	1906	25
987	1908	23
988	1910	21
989	1911	19
990	1913	17
991	1914	15
992	1916	13
993	1917	11
994	1918	9
995	1920	7
996	1922	5
997	1923	3
998	1925	1
999	1926	0
